ID,Text,Comment
AnalyticsConsent.Agree,"Yes, I agree",
AnalyticsConsent.Disagree,"No, I don't agree",
AnalyticsConsent.Header,"Gameplay data",Header of the panel that allows the player to consent to sending user data to the developers.
AnalyticsConsent.Info,"Please help us make the game better by sharing data on how you play Timberborn.

If you agree, we will automatically collect gameplay-related information during your play sessions.

You can go to the in-game settings to withdraw your consent and delete your data at any time. For more information, see our <link><u>privacy policy</u></link>.

Thank you!",
Attractions.LoadRate,Popularity,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,Visitors,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,Visitors: {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Failure,Autosave failed,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,Autosave failed due to insufficient disk space,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.Success,Autosaved,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
BatchControl.Distribution,Distribution,Title of the distribution panel
BatchControl.Housing,Housing,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,Power,"Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys."
BatchControl.Migration,"Migration","Title of migration panel"
BatchControl.NoDistrict,No district selected.,Shown when no district is selected on some batch control tabs
BatchControl.Population,Population,Tooltip of a tab allowing to manage population.
BatchControl.ShowInfo,"Manage settlement","Button opening a window to view and manage multiple buildings and characters at once . Please keep short"
BatchControl.Storage,Storage,Tooltip of a tab allowing to manage warehouses.
BatchControl.Workplaces,Workplaces,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.TemplateName,Beaver adult,
Beaver.Adulthood,Adulthood,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,Age: {0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.Child.TemplateName,Beaver child,
Beaver.DeadNameSuffix,(dead),Preceded by beaver name and age
Beaver.DiedOldAge,{0} died of old age.,{0} stands for beaver name
Beaver.Employment,Employment,Header of a section that tells of how many and where beavers are working
Beaver.GrewUp,{0} grew up.,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.Homeless,Homeless,Signifies that the beaver has no home
Beaver.HomelessPlural,Homeless,Label before number of homeless beavers
Beaver.House,Lives in: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Launched,"{0} was launched.",{0} stands for beaver name. A notification that a beaver has been launched in a plane.
Beaver.PluralDisplayName,Beavers,
Beaver.Population.Adults,Adults,Label before number of adult beavers
Beaver.Population.Children,Children,Label before number of kit beavers
Beaver.Population.Contaminated,Contaminated,"Header of the list of beavers contaminated by badwater. Should be similar or same as Need.BadwaterContamination.DisplayName"
Beaver.Population.ContaminatedAdults,Contaminated adults,"Label before number of adult beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Population.ContaminatedChildren,Contaminated children,"Label before number of children beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Unemployed,Unemployed,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,Unemployed,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,Works at: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
Bonus.CarryingCapacity,Carrying capacity,How much stuff a unit can carry
Bonus.CuttingSuccessChance,Cutting chance,Cutting chance when cutting down a tree
Bonus.GrowthSpeed,Growth speed,Speed at which young beavers grow up
Bonus.LifeExpectancy,Life expectancy,The presumed length of beavers' life.
Bonus.MovementSpeed,Movement speed,"Describes how fast character can move (bonus to walking, running and swimming)."
Bonus.WorkingSpeed,Working speed,Speed at which the beavers work.
Bot.BeaversPerished,"Don’t even get me started on the beavers.
They had it all. Fresh air, clean water.
Now they’re just a faint memory.","Text for a game over state, when all beavers have perished."
Bot.Created,{0} was created!,{0} stands for bot name. Notification that shows when production of a new bot finishes.
Bot.DeadNameSuffix,(destroyed),Preceded by bot name and age
Bot.DeathMessage,{0} broke down.,{0} stands for bot name. Notification that shows when a bot breaks down completely (it's destroyed)
