ID,Text,Comment
AnalyticsConsent.Agree,"Tak, zgadzam się",
AnalyticsConsent.Disagree,"Nie, nie zgadzam się",
AnalyticsConsent.Header,Dane z rozgrywki,Header of the panel that allows the player to consent to sending user data to the developers.
AnalyticsConsent.Info,"Pomóż nam ulepszyć grę, udostępniając swoje dane dotyczące sposobu, w jaki grasz w Timberborn.

Jeśli wyrazisz zgodę, będziemy automatycznie gromadzić informacje związane z rozgrywką w trakcie Twoich sesji.

W każdej chwili możesz przejść do ustawień w grze, aby wycofać zgodę i usunąć dane. Więcej informacji znajdziesz w naszej <link><u>polityce prywatności</u></link>.

Dziękujemy!",
Attractions.LoadRate,Popularność,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,Goście,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,Goście: {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Failure,Autozapis nieudany,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,Autozapis nieudany z powodu braku miejsca na dysku,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.Success,Zapisano,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
BatchControl.Distribution,Dystrybucja,Title of the distribution panel
BatchControl.Housing,Domostwa,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,Moc,Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys.
BatchControl.Migration,Migracja,Title of migration panel
BatchControl.NoDistrict,Nie wybrano dzielnicy.,Shown when no district is selected on some batch control tabs
BatchControl.Population,Populacja,Tooltip of a tab allowing to manage population.
BatchControl.ShowInfo,Zarządzaj osadą,Button opening a window to view and manage multiple buildings and characters at once . Please keep short
BatchControl.Storage,Składowanie,Tooltip of a tab allowing to manage warehouses.
BatchControl.Workplaces,Miejsca pracy,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.TemplateName,Dorosły bóbr,
Beaver.Adulthood,Dorosłość,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,Wiek: {0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.Child.TemplateName,Młody bóbr,
Beaver.DeadNameSuffix,(nie żyje),Preceded by beaver name and age
Beaver.DiedOldAge,{0} umiera ze starości.,{0} stands for beaver name
Beaver.Employment,Zatrudnienie,Header of a section that tells of how many and where beavers are working
Beaver.GrewUp,{0} osiąga dojrzałość.,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.Homeless,Bezdomny,Signifies that the beaver has no home
Beaver.HomelessPlural,Bezdomni,Label before number of homeless beavers
Beaver.House,Mieszka w: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Launched,{0} udaje się w lot samolotem.,{0} stands for beaver name. A notification that a beaver has been launched in a plane.
Beaver.PluralDisplayName,Bobry,
Beaver.Population.Adults,Dorośli,Label before number of adult beavers
Beaver.Population.Children,Dzieci,Label before number of kit beavers
Beaver.Population.Contaminated,Skażone,Header of the list of beavers contaminated by badwater. Should be similar or same as Need.BadwaterContamination.DisplayName
Beaver.Population.ContaminatedAdults,Skażeni dorośli,"Label before number of adult beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Population.ContaminatedChildren,Skażone dzieci,"Label before number of children beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Unemployed,Bezrobotny,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,Bezrobotni,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,Pracuje w: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
Bonus.CarryingCapacity,Nośność,How much stuff a unit can carry
Bonus.CuttingSuccessChance,Szansa na ścięcie,Cutting chance when cutting down a tree
Bonus.GrowthSpeed,Tempo dorastania,Speed at which young beavers grow up
Bonus.LifeExpectancy,Oczekiwana długość życia,The presumed length of beavers' life.
Bonus.MovementSpeed,Tempo poruszania się,"Describes how fast character can move (bonus to walking, running and swimming)."
Bonus.WorkingSpeed,Tempo pracy,Speed at which the beavers work.
