ID,Text,Comment
AnalyticsConsent.Agree,"Oui, j'accepte",
AnalyticsConsent.Disagree,"Non, je refuse",
AnalyticsConsent.Header,Données de jeu,Header of the panel that allows the player to consent to sending user data to the developers.
AnalyticsConsent.Info,"Aidez-nous à améliorer le jeu en partageant des données concernant votre façon de jouer à Timberborn.

Si vous acceptez, nous collecterons automatiquement des informations liées au jeu durant vos sessions.

Vous pouvez vous rendre à tout moment dans les paramètres du jeu pour retirer votre consentement et supprimer les données. Pour plus d'informations, consultez notre <link><u>politique de confidentialité</u></link>.

Merci !",
Attractions.LoadRate,Popularité,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,Visiteurs,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,Visiteurs max : {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Automation.Api.OpenBrowser,Ouvrir le navigateur,A button which opens the web browser.
Automation.Api.Port,Port,Port as in the port number of a web server.
Automation.Api.StartApi,Démarrer l’API,A button which starts the game's API. You may likely want to keep the term API in other languages.
Automation.Api.StopApi,Arrêter l’API,A button which stop the game's API. You may likely want to keep the term API in other languages.
Automation.Api.UnsafeWebhooksWarning,Le démarrage de l'API activera des webhooks qui font appel à des services externes :,This is an important safety warning so please make sure it is understandable. The message is followed by a list of web addresses.
Automation.Api.UnsafeWebhooksWarning.IUnderstandTheRisk,Je comprends les risques,
Automation.Automate,Automatiser,This is for a button which adds automation to a building. Must be consistent with Automation.Automation.
Automation.Automation,Automatisation,This is a collective name for the automation system and a set of buildings in the game which allow players to automate many processes.
Automation.AutomationNone,Aucune,Dropdown value when no automation is selected
Automation.AutomationOptional,Facultative,Dropdown value when no automation is selected but it is optional
Automation.NoAutomation,Pas d'automatisation,Dropdown value when no automation is selected
Automation.Input.A,A,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting input A and input B."
Automation.Input.B,B,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting input A and input B."
Automation.Input.C,C,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting inputs A, B, C up to H."
Automation.Input.D,D,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting inputs A, B, C up to H."
Automation.Input.E,E,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting inputs A, B, C up to H."
Automation.Input.F,F,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting inputs A, B, C up to H."
Automation.Input.G,G,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting inputs A, B, C up to H."
Automation.Input.H,H,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting inputs A, B, C up to H."
Automation.Input.Reset,RST,"Abbreviation for Reset, it should correspond to Automation.ResetButton. Three characters are OK for narrow letters but CJK and other languages with wider characters should be at most two - please let us know if it's a problem. It's likely that 'RST' is the best option in all languages because it is a very common abbreviation in electronics and schematics."
Automation.Measurement,Mesure : {0},Label for the measurement value in the automation panel. {0} is a measured value.
Automation.Mode,Mode,Keep short. This is a label for a dropdown in which select a mode of operation for different automation buildings.
Automation.Mode.Automated,Automatisé,"A mode in a dropdown or a radio button which denotes that this building will be automated as opposed to manually controlled. Gender should be consistent with Automation.Mode. Please keep short, at most the width of 10 latin characters."
Automation.PausedByAutomation,Mis en pause par l'automatisation.,Dropdown value when no automation is selected
Automation.Pinned,Épinglé,Checkbox label - when something is pinned it is always visible in the HUD.
Automation.PinnedAlways,Toujours épinglé,Must be consistent with Automation.Pinned.
Automation.PinnedWhenOn,Épinglé lorsqu’activée,Must be consistent with Automation.Pinned. This mode means that something is pinned to the HUD only when in the ON state.
Automation.RemoveRow,Supprimer la ligne,Tooltip for a button that removes a row from a list.
Automation.ResetButton,Réinit.,A text for a button which resets the logic memory of the selected element to zero. It's likely that 'Reset' is a good option in many languages.
Automation.ResetCircuitButton,Réinit. le circuit,A text for a button which resets the logic memory of all elements in this circuit to zero.
Automation.ResetsWhenResetInput,Se réinitialise lorsque <YellowHighlight>{0}</YellowHighlight>.,A text appended to some of the other mode descriptions such as Timer.Mode.* or Memory.Mode.*. {0} is Automation.Input.ResetInput. This text is meant to explain that the RST input resets this element.
Automation.SelectTransmitter,Sélectionner un émetteur,A description of a tool which allows player to select a building which sends an automation signal (a transmitter).
Automation.State.Error,Erreur,A state label when a signal has an error. Keep very short because the other states are 'On' and 'Off'.
Automation.State.Off,Non,A state label when a signal is switched off which is shown next to lightbulb icon.
Automation.State.On,Oui,A state label when a signal is switched on which is shown next to lightbulb icon.
Automation.State.Processing,Traitement...,A state label when a signal is switched on which is shown next to lightbulb icon. This state indicates that the element is in the middle of processing new data.
Automation.Threshold,Seuil : {0},Label for the threshold value in the automation panel. {0} is a value being a threshold.
Automation.Usages,Utilisations : {0},As in the number of usages - how many objects use this one.
Autosave.Failure,Échec de la sauvegarde automatique,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,Échec de la sauvegarde automatique. Espace disque insuffisant,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.Success,Sauvegarde automatique,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
BatchControl.Distribution,Distribution,Title of the distribution panel
BatchControl.GoodStatistics,Statistiques des marchandises,Title of the Goods statistics panel
BatchControl.GoodStatisticsType.Consumption,Consommation,Label for radio button to select consumption statistics in the Goods statistics panel.
BatchControl.GoodStatisticsType.Export,Exportations,Label for radio button to select export statistics in the Goods statistics panel.
BatchControl.GoodStatisticsType.Import,Importations,Label for radio button to select import statistics in the Goods statistics panel.
BatchControl.GoodStatisticsType.Production,Production,Label for radio button to select production statistics in the Goods statistics panel.
BatchControl.GoodStatisticsType.Stock,Stock,Label for radio button to select stock statistics in the Goods statistics panel. Stock here means the amount of goods currently in the settlement and in some languages Amount may be a better base for the translation than Stock.
BatchControl.Housing,Habitation,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,Énergie motrice,Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys.
BatchControl.Migration,Migration,Title of migration panel
BatchControl.NoDistrict,Vous n'avez sélectionné aucun district.,Shown when no district is selected on some batch control tabs
BatchControl.Population,Population,Tooltip of a tab allowing to manage population.
BatchControl.PopulationStatistics,Statistiques de population,Title of the Population statistics panel
BatchControl.PopulationStatistics.BeaverEmployment,Emploi des castors,Title for the graph in the population statistics panel showing beaver employment.
BatchControl.PopulationStatistics.Births,Naissances,Label for a data line in graph
BatchControl.PopulationStatistics.BotCreations,Bots créés,Label for a data line in graph
BatchControl.PopulationStatistics.BotDestructions,Bots détruits,Label for a data line in graph
BatchControl.PopulationStatistics.BotEmployment,Emploi des bots,Title for the graph in the population statistics panel showing bot employment.
BatchControl.PopulationStatistics.Deaths,Morts,Label for a data line in graph
BatchControl.PopulationStatistics.PopulationAverage,Population moyenne,Label for a data line in graph in Well-being graph. Refers to average population well-being
BatchControl.PopulationStatistics.PopulationTurnover,Évolution de la population,Title for the graph in the population statistics panel showing births and deaths.
BatchControl.ShowInfo,Gérer la colonie,Button opening a window to view and manage multiple buildings and characters at once . Please keep short
BatchControl.Storage,Stockage,Tooltip of a tab allowing to manage warehouses.
