ID,Text,Comment
AnalyticsConsent.Agree,Concordar,
AnalyticsConsent.Disagree,Rejeitar,
AnalyticsConsent.Header,Dados de jogabilidade,Header of the panel that allows the player to consent to sending user data to the developers.
AnalyticsConsent.Info,"Nos ajude a melhorar o jogo compartilhando dados sobre como você joga Timberborn.

Se concordar, vamos coletar automaticamente informações relacionadas à jogabilidade durante suas sessões.

Você pode acessar as configurações a qualquer momento para retirar seu consentimento e excluir os dados. Para mais informações, veja nossa <link><u>política de privacidade</u></link>

Obrigado!",
Attractions.LoadRate,Popularidade,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,Visitantes,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,Visitantes: {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Failure,Salvamento automático malsucedido,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,Salvamento automático malsucedido devido a espaço de disco insuficiente,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.Success,Salvo automaticamente,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
BatchControl.Distribution,Distribuição,Title of the distribution panel
BatchControl.Housing,Moradia,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,Energia,Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys.
BatchControl.Migration,Migração,Title of migration panel
BatchControl.NoDistrict,Nenhum distrito selecionado.,Shown when no district is selected on some batch control tabs
BatchControl.Population,População,Tooltip of a tab allowing to manage population.
BatchControl.ShowInfo,Gerenciar assentamento,Button opening a window to view and manage multiple buildings and characters at once . Please keep short
BatchControl.Storage,Armazenamento,Tooltip of a tab allowing to manage warehouses.
BatchControl.Workplaces,Locais de trabalho,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.TemplateName,Castor adulto,
Beaver.Adulthood,Idade adulta,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,Idade: {0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.Child.TemplateName,Castor criança,
Beaver.DeadNameSuffix,(morreu),Preceded by beaver name and age
Beaver.DiedOldAge,{0} morreu de velhice.,{0} stands for beaver name
Beaver.Employment,Força de trabalho,Header of a section that tells of how many and where beavers are working
Beaver.GrewUp,{0} cresceu.,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.Homeless,Sem moradia,Signifies that the beaver has no home
Beaver.HomelessPlural,Sem moradia,Label before number of homeless beavers
Beaver.House,Mora em: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Launched,Lançamento de {0} realizado.,{0} stands for beaver name. A notification that a beaver has been launched in a plane.
Beaver.PluralDisplayName,Castores,
Beaver.Population.Adults,Adultos,Label before number of adult beavers
Beaver.Population.Children,Crianças,Label before number of kit beavers
Beaver.Population.Contaminated,Contaminados,Header of the list of beavers contaminated by badwater. Should be similar or same as Need.BadwaterContamination.DisplayName
Beaver.Population.ContaminatedAdults,Adultos contaminados,"Label before number of adult beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Population.ContaminatedChildren,Crianças contaminadas,"Label before number of children beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Unemployed,Sem emprego,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,Sem emprego,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,Trabalha em: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
Bonus.CarryingCapacity,Capacidade de transporte,How much stuff a unit can carry
Bonus.CuttingSuccessChance,Chance de corte,Cutting chance when cutting down a tree
Bonus.GrowthSpeed,Velocidade de crescimento,Speed at which young beavers grow up
Bonus.LifeExpectancy,Expectativa de vida,The presumed length of beavers' life.
Bonus.MovementSpeed,Velocidade de movimento,"Describes how fast character can move (bonus to walking, running and swimming)."
Bonus.WorkingSpeed,Velocidade de trabalho,Speed at which the beavers work.
Bot.BeaversPerished,"Nem me fale dos castores.
Eles tinham tudo. Ar fresco, água limpa.
Agora não passam de uma lembrança.","Text for a game over state, when all beavers have perished."
Bot.Created,{0} criado(a)!,{0} stands for bot name. Notification that shows when production of a new bot finishes.
Bot.DeadNameSuffix,(destruído),Preceded by bot name and age
Bot.DeathMessage,{0} quebrou.,{0} stands for bot name. Notification that shows when a bot breaks down completely (it's destroyed)
Bot.DisplayName.Folktails,Lenhabot {0},{0} stands for a bot serial number. Name of bots from the Folktails faction. Named after the fact they are visibly made from wood.
Bot.DisplayName.IronTeeth,Ferrobot {0},{0} stands for a bot serial number. Name of bots from the Iron Teeth faction. Named after the fact they are visibly made from metal.
Bot.Durability,Durabilidade,Label before a progress bar showing amount of durability left
Bot.PluralDisplayName,Robôs,"Bots are autonomous robots, who assist beavers in their everyday tasks. They are constructed in factories."
Bot.TemplateName,Robô,A bot is an animated anthropomorphic being which is created from inanimate matter. Timberborn bots are depicting beavers and are made of wood and metal.
Breeding.NutrientBringing,"Os nutrientes são trazidos por carregadores, desempregados e trabalhadores após o trabalho.","Haulers are the same as in Building.HaulingPost.Description, unemployed as in Beaver.UnemployedPlural, workers as in Work.WorkersLabel"
Breeding.NutrientsNeeded,Nutrientes necessários:,Followed by a list of nutrients needed to produce a new beaver in breeding facility
Breeding.Progress,Progresso de reprodução,Label inside a progress bar describing production progress of new beaver in breeding facility
BuilderPriorityTool.Description,"Use esta ferramenta para definir as prioridades de construção, demolição e coleta de mercadorias em escombros.",Rubble should be plural version of RecoveredGoodStack.DisplayName
BuilderPriorityTool.Tip,"Clique em um item para definir sua prioridade, ou segure o botão para selecionar uma área maior.",
Building.AdvancedBreedingPod.Description,"Utiliza um sistema de reprodução avançado para produzir castores adultos, prontos para trabalhar.",Breeding should be the same as Building.BreedingPod.DisplayName
Building.AdvancedBreedingPod.DisplayName,Casulo de reprodução avançado,
Building.AdvancedBreedingPod.FlavorDescription,A ideia surgiu quando uma criança caiu em um caldeirão cheio de extrato e teve um surto de crescimento depois de beber todo ele.,"Extract must be the same as Good.Extract.DisplayName, kit is a young beaver."
Building.Agora.Description,Um grande local de reunião no qual os castores podem discutir assuntos relacionados à madeira.,
Building.Agora.DisplayName,Ágora,
Building.Agora.FlavorDescription,"Quanto as lanternas verdes são acesas, os caudas-do-mato se reúnem.",Folktails must be same as faction as Faction.Folktails.DisplayName.
Building.AncientAquiferDrill.DisplayName,Perfuratriz de aquífero antiga,
Building.AquaticFarmhouse.Description,Emprega fazendeiros especializados para plantar e colher lavouras <YellowHighlight>aquáticas</YellowHighlight>.,"Aquatic is a keyword, must be the same as in NaturalResources.Aquatic."
Building.AquaticFarmhouse.DisplayName,Fazenda aquática,A farmhouse that specializes in water plants.
Building.AquaticFarmhouse.FlavorDescription,"""Já houve rumores de que comíamos peixes. Que nojo!"" (Vovó Manganela)","Beavers eating fish is a common misconception. Beavers are 100% herbivores. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Aquifer.Description,Uma fonte de água subterrânea.,
Building.Aquifer.DisplayName,Aquífero,
Building.AquiferDrill.Description,Extrai água de um aquífero.,
Building.AquiferDrill.DisplayName,Perfuratriz de aquífero,
Building.BadtideDrain.Description,Expele água ruim durante picos de poluição.,
Building.BadtideDrain.DisplayName,Despejo de pico de poluição,
Building.BadwaterDischarge.Description,"Sela uma nascente de água ruim. Pode ser aberta e fechada. Quando aberta, mantém o fluxo de água ruim mesmo durante secas.","Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDischarge.DisplayName,Descarga de água ruim,"Name of the building that can either stop flow of badwater or enforce flow with full power. It's a dome shaped, mechanical building that opens and closes like a camera shutter. Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDischarge.FlavorDescription,Entrada permitida apenas para engenheiros civis verdadeiros.,This is a reference to a youtuber called Real Civil Engineer.
