ID,Text,Comment
AnalyticsConsent.Agree,"Evet, kabul ediyorum",
AnalyticsConsent.Disagree,"Hayır, kabul etmiyorum",
AnalyticsConsent.Header,Oynanış verisi,Header of the panel that allows the player to consent to sending user data to the developers.
AnalyticsConsent.Info,"Lütfen Timberborn'u oynama şeklinize ilişkin veri paylaşarak oyunu daha iyi hâle getirmemize yardımcı olun.

Kabul ederseniz oyun oturumlarınız sırasında otomatik olarak oynanışa dair bilgiler toplanır.

Oyun içi ayarlardan istediğiniz zaman izinleri değiştirebilir ve verilerinizi silebilirsiniz. Daha fazla bilgi için <link><u>gizlilik politikamıza</u></link> göz atın.

Teşekkür ederiz!",
Attractions.LoadRate,Popülerlik,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,Ziyaretçiler,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,Ziyaretçiler: {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Automation.Api.OpenBrowser,Tarayıcıyı aç,A button which opens the web browser.
Automation.Api.Port,Port,Port as in the port number of a web server.
Automation.Api.StartApi,API'yi başlat,A button which starts the game's API. You may likely want to keep the term API in other languages.
Automation.Api.StopApi,API'yi durdur,A button which stop the game's API. You may likely want to keep the term API in other languages.
Automation.Api.UnsafeWebhooksWarning,API'yi başlatmak dış hizmetleri çağıran web kancalarını etkinleştirecek:,This is an important safety warning so please make sure it is understandable. The message is followed by a list of web addresses.
Automation.Api.UnsafeWebhooksWarning.IUnderstandTheRisk,Riski anlıyorum,
Automation.Automate,Otomatikleştir,This is for a button which adds automation to a building. Must be consistent with Automation.Automation.
Automation.Automation,Otomasyon,This is a collective name for the automation system and a set of buildings in the game which allow players to automate many processes.
Automation.AutomationNone,Hiçbiri,Dropdown value when no automation is selected
Automation.AutomationOptional,Opsiyonel,Dropdown value when no automation is selected but it is optional
Automation.NoAutomation,Otomasyon yok,Dropdown value when no automation is selected
Automation.Input.A,A,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting input A and input B."
Automation.Input.B,B,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting input A and input B."
Automation.Input.C,C,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting inputs A, B, C up to H."
Automation.Input.D,D,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting inputs A, B, C up to H."
Automation.Input.E,E,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting inputs A, B, C up to H."
Automation.Input.F,F,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting inputs A, B, C up to H."
Automation.Input.G,G,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting inputs A, B, C up to H."
Automation.Input.H,H,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting inputs A, B, C up to H."
Automation.Input.Reset,RST,"Abbreviation for Reset, it should correspond to Automation.ResetButton. Three characters are OK for narrow letters but CJK and other languages with wider characters should be at most two - please let us know if it's a problem. It's likely that 'RST' is the best option in all languages because it is a very common abbreviation in electronics and schematics."
Automation.Measurement,Ölçüm: {0},Label for the measurement value in the automation panel. {0} is a measured value.
Automation.Mode,Mod,Keep short. This is a label for a dropdown in which select a mode of operation for different automation buildings.
Automation.Mode.Automated,Otomatikleşti,"A mode in a dropdown or a radio button which denotes that this building will be automated as opposed to manually controlled. Gender should be consistent with Automation.Mode. Please keep short, at most the width of 10 latin characters."
Automation.PausedByAutomation,Otomasyon tarafından duraklatıldı.,Dropdown value when no automation is selected
Automation.Pinned,Sabitlendi,Checkbox label - when something is pinned it is always visible in the HUD.
Automation.PinnedAlways,Her zaman sabitle,Must be consistent with Automation.Pinned.
Automation.PinnedWhenOn,Açıkken sabitle,Must be consistent with Automation.Pinned. This mode means that something is pinned to the HUD only when in the ON state.
Automation.RemoveRow,Sırayı kaldır,Tooltip for a button that removes a row from a list.
Automation.ResetButton,Sıfırla,A text for a button which resets the logic memory of the selected element to zero. It's likely that 'Reset' is a good option in many languages.
Automation.ResetCircuitButton,Devreyi sıfırla,A text for a button which resets the logic memory of all elements in this circuit to zero.
Automation.ResetsWhenResetInput,<YellowHighlight>{0}</YellowHighlight> durumunda sıfırla,A text appended to some of the other mode descriptions such as Timer.Mode.* or Memory.Mode.*. {0} is Automation.Input.ResetInput. This text is meant to explain that the RST input resets this element.
Automation.SelectTransmitter,Verici seç,A description of a tool which allows player to select a building which sends an automation signal (a transmitter).
Automation.State.Error,Hata,A state label when a signal has an error. Keep very short because the other states are 'On' and 'Off'.
Automation.State.Off,Kapalı,A state label when a signal is switched off which is shown next to lightbulb icon.
Automation.State.On,Açık,A state label when a signal is switched on which is shown next to lightbulb icon.
Automation.State.Processing,İşleniyor...,A state label when a signal is switched on which is shown next to lightbulb icon. This state indicates that the element is in the middle of processing new data.
Automation.Threshold,Eşik: {0},Label for the threshold value in the automation panel. {0} is a value being a threshold.
Automation.Usages,Kullanım: {0},As in the number of usages - how many objects use this one.
Autosave.Failure,Otomatik kayıt başarısız,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,"Otomatik kayıt, yetersiz disk alanı nedeniyle başarısız",Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.Success,Otomatik kayıt tamamlandı,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
BatchControl.Distribution,Dağıtım,Title of the distribution panel
BatchControl.GoodStatistics,Mal istatistikleri,Title of the Goods statistics panel
BatchControl.GoodStatisticsType.Consumption,Tüketim,Label for radio button to select consumption statistics in the Goods statistics panel.
BatchControl.GoodStatisticsType.Export,İhracat,Label for radio button to select export statistics in the Goods statistics panel.
BatchControl.GoodStatisticsType.Import,İthalat,Label for radio button to select import statistics in the Goods statistics panel.
BatchControl.GoodStatisticsType.Production,Üretim,Label for radio button to select production statistics in the Goods statistics panel.
BatchControl.GoodStatisticsType.Stock,Stok,Label for radio button to select stock statistics in the Goods statistics panel. Stock here means the amount of goods currently in the settlement and in some languages Amount may be a better base for the translation than Stock.
BatchControl.Housing,Barınma,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,Enerji,Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys.
BatchControl.Migration,Göç,Title of migration panel
BatchControl.NoDistrict,Seçili bölge yok.,Shown when no district is selected on some batch control tabs
BatchControl.Population,Nüfus,Tooltip of a tab allowing to manage population.
BatchControl.PopulationStatistics,Nüfus istatistikleri,Title of the Population statistics panel
BatchControl.PopulationStatistics.BeaverEmployment,Kunduz istihdamı,Title for the graph in the population statistics panel showing beaver employment.
BatchControl.PopulationStatistics.Births,Doğumlar,Label for a data line in graph
BatchControl.PopulationStatistics.BotCreations,Üretilen botlar,Label for a data line in graph
BatchControl.PopulationStatistics.BotDestructions,İmha edilen botlar,Label for a data line in graph
BatchControl.PopulationStatistics.BotEmployment,Bot istihdamı,Title for the graph in the population statistics panel showing bot employment.
BatchControl.PopulationStatistics.Deaths,Ölümler,Label for a data line in graph
BatchControl.PopulationStatistics.PopulationAverage,Nüfus ortalaması,Label for a data line in graph in Well-being graph. Refers to average population well-being
BatchControl.PopulationStatistics.PopulationTurnover,Nüfus değişimleri,Title for the graph in the population statistics panel showing births and deaths.
BatchControl.ShowInfo,Yerleşimini düzenle,Button opening a window to view and manage multiple buildings and characters at once . Please keep short
BatchControl.Storage,Depolama,Tooltip of a tab allowing to manage warehouses.
BatchControl.TimeRange.AllTime,Tüm zamanlar,Dropdown option for time range selection in Settlement Panel
BatchControl.TimeRange.Days,Son {0} gün,Dropdown option for time range selection in Settlement Panel. {0} is an integer number of days (10+). E.g. Last 50 days.
BatchControl.Workplaces,İş Yerleri,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.TemplateName,Yetişkin kunduz,
Beaver.Adulthood,Yetişkinlik,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,Yaş: {0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.Child.TemplateName,Yavru kunduz,
Beaver.DeadNameSuffix,(ölü),Preceded by beaver name and age
Beaver.DiedOldAge,{0} yaşlılık sebebiyle öldü.,{0} stands for beaver name
Beaver.Employment,İstihdam,Header of a section that tells of how many and where beavers are working
Beaver.GrewUp,{0} büyüdü.,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.Homeless,Evsiz,Signifies that the beaver has no home
Beaver.HomelessPlural,Evsiz,Label before number of homeless beavers
Beaver.House,Yaşadığı yer: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Launched,{0} fırlatıldı.,{0} stands for beaver name. A notification that a beaver has been launched in a plane.
Beaver.PluralDisplayName,Kunduzlar,
Beaver.Population.Adults,Yetişkinler,Label before number of adult beavers
Beaver.Population.Children,Yavrular,Label before number of kit beavers
Beaver.Population.Contaminated,Hasta,Header of the list of beavers contaminated by badwater. Should be similar or same as Need.BadwaterContamination.DisplayName
Beaver.Population.ContaminatedAdults,Hasta yetişkinler,"Label before number of adult beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Population.ContaminatedChildren,Hasta yavrular,"Label before number of children beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Unemployed,İşsiz,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,İşsiz,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,Çalıştığı yer: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
Bonus.CarryingCapacity,Taşıma kapasitesi,How much stuff a unit can carry
Bonus.CuttingSuccessChance,Kesme ihtimali,Cutting chance when cutting down a tree
Bonus.GrowthSpeed,Büyüme hızı,Speed at which young beavers grow up
Bonus.LifeExpectancy,Ortalama yaşam süresi,The presumed length of beavers' life.
Bonus.MovementSpeed,Hareket hızı,"Describes how fast character can move (bonus to walking, running and swimming)."
Bonus.WorkingSpeed,Çalışma hızı,Speed at which the beavers work.
Bot.BeaversPerished,"Kunduz falan deme bana hiç.
Temiz havadan tut, tatlı suya kadar her şeyleri vardı.
Şimdi hepsi mazide kaldı.","Text for a game over state, when all beavers have perished."
Bot.Created,{0} oluşturuldu!,{0} stands for bot name. Notification that shows when production of a new bot finishes.
Bot.DeadNameSuffix,(imha edildi),Preceded by bot name and age
Bot.DeathMessage,{0} bozuldu.,{0} stands for bot name. Notification that shows when a bot breaks down completely (it's destroyed)
Bot.DisplayName.Folktails,Kerestebot {0},{0} stands for a bot serial number. Name of bots from the Folktails faction. Named after the fact they are visibly made from wood.
Bot.DisplayName.IronTeeth,Demirbot {0},{0} stands for a bot serial number. Name of bots from the Iron Teeth faction. Named after the fact they are visibly made from metal.
Bot.Durability,Dayanıklılık: {0},"Label before a progress bar showing amount of durability left, {0} is the durability value."
