ID,Text,Comment
AnalyticsConsent.Agree,"Так, погоджуюся",
AnalyticsConsent.Disagree,"Ні, не погоджуюся",
AnalyticsConsent.Header,Ігрові дані,Header of the panel that allows the player to consent to sending user data to the developers.
AnalyticsConsent.Info,"Будь ласка, допоможіть нам зробити гру кращою, поділившись інформацією про свій досвід у Timberborn.

Якщо погодитеся, ми автоматично збиратимемо інформацію в процесі гри.

Ви можете будь-коли скасувати рішення й видалити дані в ігрових налаштуваннях. Для отримання додаткової інформації, дивіться <link><u>Політику конфіденційності</u></link>.

Дякуємо!",
Attractions.LoadRate,Популярність,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,Відвідувачі,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,Відвідувачі: {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Failure,Помилка автозбереження,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,Помилка автозбереження через брак місця на диску,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.Success,Збережено,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
BatchControl.Distribution,Розподілення,Title of the distribution panel
BatchControl.Housing,Житло,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,Енергія,Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys.
BatchControl.Migration,Міграція,Title of migration panel
BatchControl.NoDistrict,Район не обрано.,Shown when no district is selected on some batch control tabs
BatchControl.Population,Популяція,Tooltip of a tab allowing to manage population.
BatchControl.ShowInfo,Керувати поселенням,Button opening a window to view and manage multiple buildings and characters at once . Please keep short
BatchControl.Storage,Сховище,Tooltip of a tab allowing to manage warehouses.
BatchControl.Workplaces,Робочі місця,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.TemplateName,Дорослий бобер,
Beaver.Adulthood,Дорослий вік,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,Вік: {0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.Child.TemplateName,Бобреня,
Beaver.DeadNameSuffix,(мертвий),Preceded by beaver name and age
Beaver.DiedOldAge,{0} помирає від старості.,{0} stands for beaver name
Beaver.Employment,Зайнятість,Header of a section that tells of how many and where beavers are working
Beaver.GrewUp,{0} виростає.,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.Homeless,Без житла,Signifies that the beaver has no home
Beaver.HomelessPlural,Без житла,Label before number of homeless beavers
Beaver.House,Живе в: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Launched,{0} запущено.,{0} stands for beaver name. A notification that a beaver has been launched in a plane.
Beaver.PluralDisplayName,Бобри,
Beaver.Population.Adults,Дорослі,Label before number of adult beavers
Beaver.Population.Children,Бобренята,Label before number of kit beavers
Beaver.Population.Contaminated,Заражені,Header of the list of beavers contaminated by badwater. Should be similar or same as Need.BadwaterContamination.DisplayName
Beaver.Population.ContaminatedAdults,Заражені дорослі,"Label before number of adult beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Population.ContaminatedChildren,Заражені бобренята,"Label before number of children beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Unemployed,Без роботи,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,Без роботи,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,Місце роботи: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
Bonus.CarryingCapacity,Вантажопідйомність,How much stuff a unit can carry
Bonus.CuttingSuccessChance,Шанс зрубати,Cutting chance when cutting down a tree
Bonus.GrowthSpeed,Швидкість зростання,Speed at which young beavers grow up
Bonus.LifeExpectancy,Тривалість життя,The presumed length of beavers' life.
Bonus.MovementSpeed,Швидкість руху,"Describes how fast character can move (bonus to walking, running and swimming)."
Bonus.WorkingSpeed,Швидкість роботи,Speed at which the beavers work.
Bot.BeaversPerished,"Бобри, хай їм грець!
У них було все. Свіже повітря, чиста вода.
І де вони зараз?","Text for a game over state, when all beavers have perished."
Bot.Created,{0} створено!,{0} stands for bot name. Notification that shows when production of a new bot finishes.
Bot.DeadNameSuffix,(розбито),Preceded by bot name and age
Bot.DeathMessage,{0} не підлягає ремонту.,{0} stands for bot name. Notification that shows when a bot breaks down completely (it's destroyed)
Bot.DisplayName.Folktails,Деревобот {0},{0} stands for a bot serial number. Name of bots from the Folktails faction. Named after the fact they are visibly made from wood.
Bot.DisplayName.IronTeeth,Залізобот {0},{0} stands for a bot serial number. Name of bots from the Iron Teeth faction. Named after the fact they are visibly made from metal.
Bot.Durability,Міцність,Label before a progress bar showing amount of durability left
Bot.PluralDisplayName,Боти,"Bots are autonomous robots, who assist beavers in their everyday tasks. They are constructed in factories."
Bot.TemplateName,Бот,A bot is an animated anthropomorphic being which is created from inanimate matter. Timberborn bots are depicting beavers and are made of wood and metal.
Breeding.NutrientBringing,"Поживні речовини приносять вантажники, безробітні й робітники після роботи.","Haulers are the same as in Building.HaulingPost.Description, unemployed as in Beaver.UnemployedPlural, workers as in Work.WorkersLabel"
Breeding.NutrientsNeeded,Необхідні поживні речовини:,Followed by a list of nutrients needed to produce a new beaver in breeding facility
Breeding.Progress,Прогрес розмноження,Label inside a progress bar describing production progress of new beaver in breeding facility
BuilderPriorityTool.Description,"Інструмент дозволяє встановлювати пріоритет для будівництва, знесення й збору матеріалів з уламків.",Rubble should be plural version of RecoveredGoodStack.DisplayName
BuilderPriorityTool.Tip,"Натисніть на предмет, щоб встановити пріоритет, або утримуйте кнопку, щоби виділити більшу область.",
Building.AdvancedBreedingPod.Description,"Використовує поліпшений процес розмноження для виведення дорослих, готових до роботи бобрів.",Breeding should be the same as Building.BreedingPod.DisplayName
Building.AdvancedBreedingPod.DisplayName,Поліпшений інкубатор,
Building.AdvancedBreedingPod.FlavorDescription,"Ідея народилася, коли бобреня впало в котел з екстрактом і неймовірно швидко виросло.","Extract must be the same as Good.Extract.DisplayName, kit is a young beaver."
Building.Agora.Description,"Велике місце зібрання, де бобри можуть зустрітися й обміркувати різні деревинні теми.",
Building.Agora.DisplayName,Агора,
Building.Agora.FlavorDescription,"Коли горять зелені вогні, Хвостонародці знають, що час збиратися.",Folktails must be same as faction as Faction.Folktails.DisplayName.
Building.AncientAquiferDrill.DisplayName,Прадавній бур для водоносного шару,
Building.AquaticFarmhouse.Description,Спеціалізовані фермери саджають <YellowHighlight>водні</YellowHighlight> культури і збирають врожай.,"Aquatic is a keyword, must be the same as in NaturalResources.Aquatic."
Building.AquaticFarmhouse.DisplayName,Водна ферма,A farmhouse that specializes in water plants.
Building.AquaticFarmhouse.FlavorDescription,"«Колись ходили чутки, що ми їмо рибу. Гидота яка!» — мати Нгонель","Beavers eating fish is a common misconception. Beavers are 100% herbivores. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Aquifer.Description,Підземне джерело води.,
Building.Aquifer.DisplayName,Водоносний шар,
Building.AquiferDrill.Description,Видобуває воду з водоносного шару.,
Building.AquiferDrill.DisplayName,Бур для водоносного шару,
Building.BadtideDrain.Description,Спускає зловоду під час злоприпливу.,
Building.BadtideDrain.DisplayName,Спуск зловоди,
Building.BadwaterDischarge.Description,Ізолює джерело зловоди. Можна зачиняти й відчиняти. У відчиненому стані забезпечує постачання зловоди навіть у посухи.,"Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDischarge.DisplayName,Зливний кран зловоди,"Name of the building that can either stop flow of badwater or enforce flow with full power. It's a dome shaped, mechanical building that opens and closes like a camera shutter. Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDischarge.FlavorDescription,Наближатися дозволено лише справжнім інженерам.,This is a reference to a youtuber called Real Civil Engineer.
Building.BadwaterDome.Description,Ізолює джерело зловоди. Можна закривати й відкривати за бажанням.,"Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDome.DisplayName,Зловодний купол,Name of the building that stops flow of badwater when put on its source. It's a dome shaped mechanical building that can open and close by raising the cover up and down. Badwater must be the same as Good.Badwater.DisplayName.
Building.BadwaterDome.FlavorDescription,"Зловоди не знали, лиха не мали.","This is a reference to a Bob Marley song ""No woman, no cry""."
Building.BadwaterPump.Description,"Посилений насос, здатний викачувати зловоду. Низький рівень зараження зловодою сповільнює процес.",Badwater should be the same as Good.Badwater.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project.
Building.BadwaterPump.DisplayName,Зловодний насос,Badwater should be the same as Good.Badwater.DisplayName.
Building.BadwaterPump.FlavorDescription,«До захисних засобів треба додати ще й затички для носа!» — Сулі,Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible.
Building.BadwaterRig.Description,Ізолює джерело зловоди. Найняті робітники зможуть видобувати зловоду просто з джерела.,"Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterRig.DisplayName,Бур зловоди,Name of the building that stops flow from badwater source and generates Good.Badwater.DisplayName goods (by extracting them from source). It's a mechanical building that needs workers to operate. Badwater must be the same as Good.Badwater.DisplayName
Building.BadwaterRig.FlavorDescription,"Бобри, що працюють над киплячим джерелом зловоди, перебувають під постійним тиском.",Play on words with pressure referring to both water pressure and stress. If possible try to adapt the phrase to fit your language.
Building.BadwaterSeep.Description,Джерело зловоди з обмеженим тиском.,
Building.BadwaterSeep.DisplayName,Прошарок зловоди,"A building that allows badwater to seep through, creating a natural badwater source."
Building.BadwaterSource.DisplayName,Джерело зловоди,A crack or spring in the ground spuming badwater. Badwater should be the same as Good.Badwater.DisplayName.
Building.BadwaterSource.FlavorDescription,"«І чому це ми мусимо прибирати за людиськами? А, точно. Вони ж померли», — Піна",
Building.Bakery.Description,Робить хліб і випічку з різних видів борошна.,Pastry being a baked good.
Building.Bakery.DisplayName,Пекарня,Building that bakes bread
Building.Bakery.FlavorDescription,«Що може бути краще за гарячу булочку зі свіжою тирсою?» — мати Нгонель,"Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Barrack.Description,Практичний гуртожиток.,
Building.Barrack.DisplayName,Барак,Barracks are cramped homes for beavers. Not related to soldiers.
