ID,Text,Comment
AnalyticsConsent.Agree,ตกลง ฉันยินยอม,
AnalyticsConsent.Disagree,ไม่ตกลง ฉันไม่ยินยอม,
AnalyticsConsent.Header,ข้อมูลการเล่นเกม,Header of the panel that allows the player to consent to sending user data to the developers.
AnalyticsConsent.Info,"โปรดช่วยเราปรับปรุงเกมให้ดีขึ้นด้วยการแบ่งปันข้อมูลวิธีการเล่น Timberborn ของคุณ

หากคุณยินยอม เราจะรวบรวมข้อมูลที่เกี่ยวข้องกับการเล่นเกมในเซสชันการเล่นของคุณโดยอัตโนมัติ

คุณสามารถไปที่การตั้งค่าในเกมเพื่อเพิกถอนความยินยอมและลบข้อมูลของคุณได้ทุกเมื่อ หากต้องการข้อมูลเพิ่มเติม โปรดดูที่<link><u>นโยบายความเป็นส่วนตัว</u></link>ของเรา

ขอขอบคุณ!",
Attractions.LoadRate,ความนิยม,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,ผู้เยี่ยมชม,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,ผู้เยี่ยมชม: {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Failure,บันทึกอัตโนมัติไม่สำเร็จ,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,บันทึกอัตโนมัติไม่สำเร็จเนื่องจากมีพื้นที่ดิสก์ไม่เพียงพอ,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.Success,บันทึกอัตโนมัติแล้ว,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
BatchControl.Distribution,การกระจาย,Title of the distribution panel
BatchControl.Housing,ที่อยู่อาศัย,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,พลังงาน,Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys.
BatchControl.Migration,การอพยพ,Title of migration panel
BatchControl.NoDistrict,ไม่ได้เลือกเขต,Shown when no district is selected on some batch control tabs
BatchControl.Population,ประชากร,Tooltip of a tab allowing to manage population.
BatchControl.ShowInfo,จัดการถิ่นฐาน,Button opening a window to view and manage multiple buildings and characters at once . Please keep short
BatchControl.Storage,ที่เก็บของ,Tooltip of a tab allowing to manage warehouses.
BatchControl.Workplaces,ที่ทำงาน,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.TemplateName,บีเวอร์โตเต็มวัย,
Beaver.Adulthood,วัยโตเต็มวัย,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,อายุ: {0},"{0} stands for number of days, for example 'Age: 5'."
