ID,Text,Comment
AnalyticsConsent.Agree,是，我同意,
AnalyticsConsent.Disagree,否，我不同意,
AnalyticsConsent.Header,游戏数据,Header of the panel that allows the player to consent to sending user data to the developers.
AnalyticsConsent.Info,"请分享您的《海狸浮生记 Timberborn》游戏数据，以帮助我们改进游戏。

如果您同意，我们将在您的游戏过程中自动收集与游戏相关的信息。

您可以随时在游戏设置中撤销许可，并删除您的数据。更多信息，请参阅我们的<link><u>隐私政策</u></link>。

衷心对您表示感谢！",
Attractions.LoadRate,人气,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,游客,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,游客上限：{0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Failure,自动保存失败,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,由于硬盘空间不足，自动保存失败,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.Success,已自动保存,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
BatchControl.Distribution,运送,Title of the distribution panel
BatchControl.Housing,住房,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,能量,Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys.
BatchControl.Migration,迁徙,Title of migration panel
BatchControl.NoDistrict,未选择地区。,Shown when no district is selected on some batch control tabs
BatchControl.Population,数量,Tooltip of a tab allowing to manage population.
BatchControl.ShowInfo,管理聚居地,Button opening a window to view and manage multiple buildings and characters at once . Please keep short
BatchControl.Storage,仓储,Tooltip of a tab allowing to manage warehouses.
BatchControl.Workplaces,工作场所,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.TemplateName,成年海狸,
Beaver.Adulthood,成年,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,年龄：{0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.Child.TemplateName,幼年海狸,
Beaver.DeadNameSuffix,（去世）,Preceded by beaver name and age
Beaver.DiedOldAge,{0}老死了。,{0} stands for beaver name
Beaver.Employment,劳动,Header of a section that tells of how many and where beavers are working
Beaver.GrewUp,{0}长大了。,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.Homeless,无家可归,Signifies that the beaver has no home
Beaver.HomelessPlural,无家可归,Label before number of homeless beavers
Beaver.House,住在：{0},{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Launched,{0}起飞了。,{0} stands for beaver name. A notification that a beaver has been launched in a plane.
Beaver.PluralDisplayName,海狸,
Beaver.Population.Adults,成年,Label before number of adult beavers
Beaver.Population.Children,幼年,Label before number of kit beavers
Beaver.Population.Contaminated,受污染,Header of the list of beavers contaminated by badwater. Should be similar or same as Need.BadwaterContamination.DisplayName
Beaver.Population.ContaminatedAdults,受污染的成年海狸,"Label before number of adult beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Population.ContaminatedChildren,受污染的幼年海狸,"Label before number of children beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Unemployed,无业,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,无业,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,工作地点：{0},{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
Bonus.CarryingCapacity,承载能力,How much stuff a unit can carry
Bonus.CuttingSuccessChance,砍伐几率,Cutting chance when cutting down a tree
Bonus.GrowthSpeed,成长速度,Speed at which young beavers grow up
Bonus.LifeExpectancy,预期寿命,The presumed length of beavers' life.
Bonus.MovementSpeed,移动速度,"Describes how fast character can move (bonus to walking, running and swimming)."
Bonus.WorkingSpeed,工作速度,Speed at which the beavers work.
Bot.BeaversPerished,"别跟我提什么海狸的事了
……他们曾拥有一切。新鲜的空气，干净的水。
现在他们只是褪色的记忆罢了。","Text for a game over state, when all beavers have perished."
Bot.Created,{0}完成了！,{0} stands for bot name. Notification that shows when production of a new bot finishes.
Bot.DeadNameSuffix,（毁坏）,Preceded by bot name and age
Bot.DeathMessage,{0}已被毁坏。,{0} stands for bot name. Notification that shows when a bot breaks down completely (it's destroyed)
Bot.DisplayName.Folktails,木机关人 {0},{0} stands for a bot serial number. Name of bots from the Folktails faction. Named after the fact they are visibly made from wood.
Bot.DisplayName.IronTeeth,铁机关人 {0},{0} stands for a bot serial number. Name of bots from the Iron Teeth faction. Named after the fact they are visibly made from metal.
Bot.Durability,耐久度,Label before a progress bar showing amount of durability left
Bot.PluralDisplayName,机关人,"Bots are autonomous robots, who assist beavers in their everyday tasks. They are constructed in factories."
Bot.TemplateName,机关人,A bot is an animated anthropomorphic being which is created from inanimate matter. Timberborn bots are depicting beavers and are made of wood and metal.
Breeding.NutrientBringing,养分是由搬运工、无业海狸和下班后的劳工带来的。,"Haulers are the same as in Building.HaulingPost.Description, unemployed as in Beaver.UnemployedPlural, workers as in Work.WorkersLabel"
Breeding.NutrientsNeeded,所需养分：,Followed by a list of nutrients needed to produce a new beaver in breeding facility
Breeding.Progress,繁殖进度,Label inside a progress bar describing production progress of new beaver in breeding facility
BuilderPriorityTool.Description,使用此工具设置建造、拆除和从瓦砾堆中收集物资的优先级。,Rubble should be plural version of RecoveredGoodStack.DisplayName
BuilderPriorityTool.Tip,点击一项以设置其优先级，或按住按钮以选择更大的区域。,
Building.AdvancedBreedingPod.Description,利用先进的繁殖技术培育出渴望工作的成年海狸。,Breeding should be the same as Building.BreedingPod.DisplayName
